location_id,boro,building,street,zipcode,lat,long
20515,Queens,3025,STRATTON ST,11354,40.77,-73.835
20516,Queens,3609,MAIN ST,11354,40.763,-73.832
20517,Queens,3011,STRATTON ST,11354,40.77,-73.835
20518,Queens,16841,HILLSIDE AVE,11432,40.71,-73.794
20519,Queens,8001,ATLANTIC AVE,11421,40.685,-73.86
20520,Queens,40-11,149 PLACE,11354,40.763,-73.815
20521,Queens,4508,PARSONS BLVD,11355,40.755,-73.815
20522,Queens,9507,31ST AVE,11369,40.761,-73.873
20523,Queens,11616,METROPOLITAN AVE,11418,40.707,-73.836
20524,Queens,16402,CROSSBAY BLVD,11414,40.651,-73.838
20525,Queens,13520,40TH RD,11354,40.759,-73.83
20526,Queens,9418,SUTPHIN BLVD,11435,40.699,-73.807
20527,Queens,22315,LINDEN BOULEVARD,11411,40.694,-73.737
20528,Queens,5825,LITTLE NECK PKWY,11362,40.762,-73.723
20529,Queens,11633,QUEENS BLVD,11375,40.716,-73.833
20530,Queens,7401,METROPOLITAN AVENUE,11379,40.713,-73.878
20531,Queens,68-15,NORTHERN BOULEVARD,11377,40.754,-73.898
20532,Queens,4102,MAIN STREET,11355,40.758,-73.829
20533,Queens,10908,LIBERTY AVE,11419,40.684,-73.833
20534,Queens,2501,STEINWAY ST,11103,40.768,-73.912
20535,Queens,4024,COLLEGE POINT BLVD,11354,40.757,-73.834
20536,Queens,9630,LINDEN BLVD,11417,40.674,-73.84
20537,Queens,196-50,NORTHERN BOULEVARD,11358,40.758,-73.785
20538,Queens,3515,DITMARS BLVD,11105,40.775,-73.909
20539,Queens,2808,STEINWAY STREET,11103,40.765,-73.914
20540,Queens,2709,21 STREET,11102,40.772,-73.926
20541,Queens,9601,JAMAICA AVE,11421,40.695,-73.849
20542,Queens,24314,MERRICK BLVD,11422,40.674,-73.73
20543,Queens,8021,37 AVENUE,11372,40.75,-73.886
20544,Queens,9701,57 AVENUE,11368,40.737,-73.864
20545,Queens,3300,NORTHERN BLVD,11101,40.752,-73.931
20546,Queens,13620,38TH AVE,11354,40.761,-73.83
20547,Queens,4012,BELL BOULEVARD,11361,40.764,-73.771
20548,Queens,13821,JAMAICA AVE,11435,40.703,-73.815
20549,Queens,0,TERM8-A1,11430,0,0
20550,Queens,35-01,BELL BOULEVARD,11361,40.769,-73.774
20551,Queens,10259,JAMAICA AVE,11418,40.695,-73.843
20552,Queens,9012,JAMAICA AVENUE,11421,40.693,-73.854
20553,Queens,11327,QUEENS BLVD,11375,40.717,-73.835
20554,Queens,0,US AIRWAYS TERMINAL,11371,0,0
20555,Queens,5419,MYRTLE AVE,11385,40.7,-73.91
20556,Queens,4365,KISSENA BOULEVARD,11355,40.754,-73.823
20557,Queens,3721,JUNCTION BLVD,11368,40.751,-73.87
20558,Queens,9532,QUEENS BOULEVARD,11374,40.731,-73.863
20559,Queens,14912,JAMAICA AVENUE,11435,40.702,-73.805
20560,Queens,689,SENECA AVENUE,11385,40.703,-73.908
20561,Queens,3186,31 STREET,11106,40.763,-73.925
20562,Queens,25541,JAMAICA AVENUE,11001,40.727,-73.71
20563,Queens,10718,CORONA AVE,11368,40.744,-73.856
20564,Queens,4104,163RD ST,11358,40.761,-73.803
20565,Queens,9403A,63RD DR,11374,40.729,-73.863
20566,Queens,4746,11TH ST,11101,40.744,-73.951
20567,Queens,16204,NORTHERN BLVD,11358,40.762,-73.803
20568,Queens,24827,JAMAICA AVENUE,11426,40.726,-73.717
20569,Queens,7151,YELLOWSTONE BLVD,11375,40.721,-73.855
20570,Queens,5627,61ST ST,11378,40.724,-73.904
20571,Queens,1858,CORNAGA AVE,11691,40.602,-73.751
20572,Queens,6908,FRESH POND RD,11385,40.703,-73.895
20573,Queens,24410,MERRICK BLVD,11422,40.674,-73.729
20574,Queens,10405,METROPOLITAN AVENUE,11375,40.71,-73.849
20575,Queens,8026,NORTHERN BLVD,11372,40.755,-73.887
20576,Queens,8605,ROCKAWAY BEACH BOULEVARD,11693,40.588,-73.811
20577,Queens,3956,61ST ST,11377,40.746,-73.903
20578,Queens,377,BEACH   92 STREET,11693,40.589,-73.817
20579,Queens,66-01,FLEET STREET,11375,40.72,-73.857
20580,Queens,8601,23 AVENUE,11369,40.767,-73.884
20581,Queens,4320,31ST AVE,11103,40.76,-73.914
20582,Queens,10306,LIBERTY AVENUE,11417,40.682,-73.838
20583,Queens,6712,FRESH POND RD,11385,40.705,-73.896
20584,Queens,11115,ROOSEVELT AVENUE,11368,40.752,-73.856
20585,Queens,9214,ROCKAWAY BEACH BLVD,11693,40.586,-73.816
20586,Queens,8347,PARSONS BOULEVARD,11432,40.715,-73.808
20587,Queens,8205,NORTHERN BOULEVARD,11372,40.756,-73.885
20588,Queens,12002,LIBERTY AVE,11419,40.687,-73.823
20589,Queens,4112,MAIN STREET,11355,40.758,-73.829
20590,Queens,8329,BROADWAY,11373,40.741,-73.879
20591,Queens,7030,AUSTIN STREET,11375,40.72,-73.846
20592,Queens,18125,HILLSIDE AVE,11432,40.713,-73.782
